"Bizrate","Bizrate"
"Bizrate Buyers Survey","Bizrate Buyers Survey"
"Bizrate Survey","Bizrate Survey"
"Enable Survey","Enable Survey"
"Enable the Bizrate Survey for the checkout success page?","Enable the Bizrate Survey for the checkout success page?"
"Enable Bizrate Medal","Enable Bizrate Medal"
"Enable the Bizrate Medal for the site?","Enable the Bizrate Medal for the site?"
"Medal Placement","Medal Placement"
"Select an area to auto place the medal on your site?","Select an area to auto place the medal on your site?"
"Bizrate Module","Bizrate Module"
"GTIN field","GTIN field"
"Select the attribute that represents your EAN, UPC, or ISBN (*defaults to sku)","Select the attribute that represents your EAN, UPC, or ISBN (*defaults to sku)"
"Bizrate Merchant ID","Bizrate Merchant ID"
"Your Bizrate Merchant ID","Your Bizrate Merchant ID"
"Enable the Bizrate Medal in the right column?","Enable the Bizrate Medal in the right column?"
"Bizrate Medal Right","Bizrate Medal Right"
"Bizrate Medal Footer","Bizrate Medal Footer"
"Enable the Bizrate Medal in the Footer?","Enable the Bizrate Medal in the Footer?"
"Advanced options?","Advanced options?"
"Show advanced options?","Show advanced options?"
"HTML for the Large Bizrate Medal - do not change the __MID__ as it will be replaced with your Merchant ID","HTML for the Large Bizrate Medal - do not change the __MID__ as it will be replaced with your Merchant ID"
"Bizrate Large Medal","Bizrate Large Medal"
"HTML for the small Bizrate Medal - do not change the __MID__ as it will be replaced with your Merchant ID","HTML for the small Bizrate Medal - do not change the __MID__ as it will be replaced with your Merchant ID"
"Bizrate Small Medal","Bizrate Small Medal"
"Create a Shopzilla/Bizrate Account",Create a Shopzilla/Bizrate Account"
"Enable the Bizrate POS survey on the checkout success page.",Enable the Bizrate POS survey on the checkout success page."
"Enter your Shopzilla / Bizrate Merchant ID.",Enter your Shopzilla / Bizrate Merchant ID."
"If you do not have a Shopzilla or Bizrate Merchant ID, then click to sign-up.",If you do not have a Shopzilla or Bizrate Merchant ID, then click to sign-up."
"Select a placement for the Bizrate medal on your site.",Select a placement for the Bizrate medal on your site."
"Select the attribute that represents your EAN, UPC, or ISBN (*defaults to SKU)",Select the attribute that represents your EAN, UPC, or ISBN (*defaults to SKU)"
"Show advanced options?",Show advanced options?"
"Advanced options?",Advanced options?"
"Bizrate Buyers Survey",Bizrate Buyers Survey"
"Bizrate",Bizrate"
"Bizrate Large Medal",Bizrate Large Medal"
"Bizrate Medal Placement",Bizrate Medal Placement"
"Shopzilla / Bizrate Merchant ID",Bizrate Merchant ID"
"Bizrate Small Medal",Bizrate Small Medal"
"Bizrate Survey",Bizrate Survey"
"Enable Bizrate Medal",Enable Bizrate Medal"
"Enable Bizrate Survey",Enable Bizrate Survey"
"GTIN field",GTIN field"
"If you have questions or need assistance, then contact us ",If you have questions or need assistance, then contact us "
